speciesID,parentID,t1,p1,seedPerTick,t2,p2,adultPerTick,ns,CNDD,HNDD
761,-1,9,0.5358282691598399,0.9330216811614387,56,0.6875870522033828,0.9933336260185842,5,0.15,0.006
762,-1,9,0.518679223264575,0.9296556105557678,56,0.8495133918378447,0.9970918872470094,5,0.15,0.006
763,-1,9,0.5798176471507621,0.9412371230007732,56,0.8349525110879663,0.9967841030258663,5,0.15,0.006
764,-1,9,0.44276774323355955,0.9134530270499788,56,0.5722684927395567,0.9900825942475782,5,0.15,0.006
765,-1,9,0.38005066485839134,0.8980814412718497,56,0.6278897715567757,0.9917238897975158,5,0.15,0.006
766,-1,9,0.5974709663516654,0.9443789795373789,56,0.3555042899446321,0.981701313891123,5,0.15,0.006
767,-1,9,0.8084964686584621,0.9766568808421502,56,0.5705092092638564,0.9900281595437757,5,0.15,0.006
768,-1,9,0.5579231897021454,0.9372201158806677,56,0.5574658045832447,0.9896193597344605,5,0.15,0.006
769,-1,9,0.5835591670537963,0.9419100545481189,56,0.731090721428969,0.9944224390842274,5,0.15,0.006
770,-1,9,0.7546529936419271,0.9692066082328391,56,0.7300673306515041,0.9943975647293114,5,0.15,0.006
771,-1,9,0.7464317393332909,0.9680277086672847,56,0.4509170882071568,0.9858779542934274,5,0.15,0.006
772,-1,9,0.6623984134470574,0.9552660974592325,56,0.5663960944780091,0.9899002479556297,5,0.15,0.006
773,-1,9,0.6922073621414468,0.9599496801138965,56,0.8227307838499216,0.9965216661920477,5,0.15,0.006
774,-1,9,0.8797178126653407,0.9858615565923047,56,0.7375228479058771,0.9945779986300964,5,0.15,0.006
775,-1,9,0.641235719210069,0.9518259104292274,56,0.34922857219506864,0.9813891356427473,5,0.15,0.006
776,-1,9,0.517573413041865,0.9294351792847908,56,0.586117123025017,0.9905054385409866,5,0.15,0.006
777,-1,9,0.5265096235896788,0.9312046714171237,56,0.7835773257102803,0.9956543709514225,5,0.15,0.006
778,-1,9,0.3885577430817063,0.9002931628908152,56,0.3672127791115299,0.9822695352366404,5,0.15,0.006
779,-1,9,0.640296266234432,0.9516708663060213,56,0.7187834689248538,0.9941210078323841,5,0.15,0.006
780,-1,9,0.6170273553242323,0.9477646166535062,56,0.4804812789315044,0.986996587836793,5,0.15,0.006
781,-1,9,0.7216150636596788,0.9643977239098528,56,0.7118391391939809,0.9939486812652147,5,0.15,0.006
782,-1,9,0.3776534440885336,0.8974502508699365,56,0.7899276359564674,0.995797890499076,5,0.15,0.006
783,-1,9,0.48739827898183263,0.9232523961887129,56,0.6597763575827106,0.9926015337964862,5,0.15,0.006
784,-1,9,0.3102158274692679,0.8780479168908211,56,0.6764230242779441,0.9930432995275844,5,0.15,0.006
785,-1,9,0.4999939287002511,0.9258734631110138,56,0.5651842866566363,0.9898623885662903,5,0.15,0.006
786,-1,9,0.3270362625160069,0.8832145446028847,56,0.5107097812153044,0.9880725281458874,5,0.15,0.006
787,-1,9,0.7748499836428614,0.9720550203034933,56,0.4928568514987236,0.9874449007020564,5,0.15,0.006
788,-1,9,0.5424555846316154,0.9342969033283103,56,0.6380426534839623,0.9920079975391661,5,0.15,0.006
789,-1,9,0.49572131890287274,0.9249910076067449,56,0.6622072716251494,0.992666722926647,5,0.15,0.006
790,-1,9,0.8706647814620858,0.9847291072930869,56,0.7219514971099089,0.9941990813799275,5,0.15,0.006
791,-1,9,0.4847345588047874,0.922690391695704,56,0.48441965961119493,0.9871404765238807,5,0.15,0.006
792,-1,9,0.44116006782265915,0.9130839066966437,56,0.6111230474786457,0.9912446788568656,5,0.15,0.006
793,-1,9,0.6585582982619015,0.9546491780037645,56,0.44823293658623664,0.9857728505590801,5,0.15,0.006
794,-1,9,0.7586839747181102,0.9697804716475635,56,0.7056404488639602,0.9937934576078133,5,0.15,0.006
795,-1,9,0.4481376062075954,0.9146773655063232,56,0.5320432172770682,0.9887948478383763,5,0.15,0.006
796,-1,9,0.6446242577002959,0.9523834708384058,56,0.732657536041741,0.9944604556229858,5,0.15,0.006
797,-1,9,0.8621802534436052,0.9836582306583922,56,0.5529975326325768,0.9894771541462996,5,0.15,0.006
798,-1,9,0.5877530526894269,0.9426598028199212,56,0.5147492466139687,0.9882115455481978,5,0.15,0.006
799,-1,9,0.7425364492522848,0.9674651025921737,56,0.5813066002213916,0.9903596803068574,5,0.15,0.006
800,-1,9,0.7005260926181701,0.9612247043047436,56,0.5720036408583987,0.9900744098758356,5,0.15,0.006
801,-1,9,0.4745355807723815,0.9205128693815113,56,0.5307501434486496,0.9887518829753837,5,0.15,0.006
802,-1,9,0.47035506878472905,0.9196082734576074,56,0.6408659134850813,0.9920862118722579,5,0.15,0.006
803,-1,9,0.6000013204676623,0.944822539407349,56,0.6725110476633734,0.9929404518695792,5,0.15,0.006
804,-1,9,0.6430962643908641,0.9521323734952188,56,0.614701291296064,0.9913480236020953,5,0.15,0.006
805,-1,9,0.7051297102602525,0.96192453383995,56,0.7288805379236672,0.9943686758356319,5,0.15,0.006
806,-1,9,0.7546505012075746,0.969206252559818,56,0.7899930301701075,0.9957993625320339,5,0.15,0.006
807,-1,9,0.4855436453893899,0.9228613863559274,56,0.6642353346080209,0.9927209293312954,5,0.15,0.006
808,-1,9,0.8248806075529728,0.9788364235097491,56,0.26228509808264927,0.9763846821429969,5,0.15,0.006
809,-1,9,0.5259261304066786,0.9310899495739112,56,0.6859049475426593,0.9932901795276429,5,0.15,0.006
810,-1,9,0.45669955159967346,0.9166027927363213,56,0.5764881520559634,0.9902124894727432,5,0.15,0.006
811,-1,9,0.621598519734065,0.9485422139478651,56,0.5937227655895143,0.9907335082876108,5,0.15,0.006
812,-1,9,0.3960036633326108,0.9021939521867325,56,0.7215991926136944,0.9941904157609517,5,0.15,0.006
813,-1,9,0.43410344434055365,0.9114494376113332,56,0.49983152412400955,0.9876927155756539,5,0.15,0.006
814,-1,9,0.8066303117410909,0.9764061455422711,56,0.6389291063785592,0.9920325919806698,5,0.15,0.006
815,-1,9,0.5174586635474888,0.9294122812497222,56,0.7239588568273596,0.994248377212843,5,0.15,0.006
816,-1,9,0.7426478895061459,0.9674812345897533,56,0.3738501576233728,0.9825837996555565,5,0.15,0.006
817,-1,9,0.7397920691921875,0.9670671477934617,56,0.7486733400218171,0.9948445402576994,5,0.15,0.006
818,-1,9,0.3347439933098211,0.8855035574986779,56,0.702849514971912,0.9937231310928876,5,0.15,0.006
819,-1,9,0.5202583223513297,0.929969663740635,56,0.8144597700716673,0.9963418814861383,5,0.15,0.006
820,-1,9,0.6294137992990471,0.949859967594279,56,0.5591625366052008,0.9896730662380349,5,0.15,0.006
821,-1,9,0.5864276817857065,0.9424233793030041,56,0.7530090008196219,0.9949471285998334,5,0.15,0.006
822,-1,9,0.7853786359922881,0.973513818269121,56,0.5452757411610877,0.9892287218667125,5,0.15,0.006
823,-1,9,0.7777647271974276,0.9724606279098772,56,0.7432008531002664,0.9947142166119459,5,0.15,0.006
824,-1,9,0.4149877094195246,0.9069001432610868,56,0.7668756980019893,0.9952713839645053,5,0.15,0.006
825,-1,9,0.46755173095407204,0.918997664488034,56,0.5045880762351991,0.9878597788052867,5,0.15,0.006
826,-1,9,0.7806707989189849,0.9728636858594439,56,0.4706830507790042,0.9866335222504519,5,0.15,0.006
827,-1,9,0.7339029232843723,0.9662087307875824,56,0.5259430828764353,0.9885912525980401,5,0.15,0.006
828,-1,9,0.6774196662542485,0.9576491384397144,56,0.6498713145875409,0.9923334513196492,5,0.15,0.006
829,-1,9,0.5496168223875761,0.935659388401049,56,0.3714809610852357,0.9824722571965402,5,0.15,0.006
830,-1,9,0.7949038675215311,0.9748186862376893,56,0.6283915452287039,0.9917380365525561,5,0.15,0.006
831,-1,9,0.5642352083057817,0.9383923631618764,56,0.5288792275309454,0.9886895358645614,5,0.15,0.006
832,-1,9,0.3914616385620893,0.9010382871285114,56,0.6515671501635139,0.9923796330344544,5,0.15,0.006
833,-1,9,0.6335060408119291,0.950544179192753,56,0.6799453991743163,0.9931354057936953,5,0.15,0.006
834,-1,9,0.6852385052305308,0.9588710251326571,56,0.7964628058702525,0.9959444096438373,5,0.15,0.006
835,-1,9,0.5850549238779715,0.9421780014842912,56,0.7099936575029228,0.9939026071162956,5,0.15,0.006
836,-1,9,0.6331062251831066,0.9504775045568644,56,0.513047341130342,0.9881531058837585,5,0.15,0.006
837,-1,9,0.6306899427818784,0.9500737585333466,56,0.6290378622981837,0.9917562421517095,5,0.15,0.006
838,-1,9,0.5121771085773452,0.9283534411512923,56,0.8526821228407837,0.9971581803001721,5,0.15,0.006
839,-1,9,0.5153159921664444,0.9289838842665665,56,0.6271633063631044,0.991703388515423,5,0.15,0.006
840,-1,9,0.4032324927204821,0.9040091695135744,56,0.5003524280488917,0.9877110871191517,5,0.15,0.006
841,-1,9,0.5681469203589067,0.9391129963406816,56,0.7910163007391223,0.9958223809219696,5,0.15,0.006
842,-1,9,0.6395588353594315,0.9515490215007572,56,0.6107935349878284,0.9912351322051175,5,0.15,0.006
843,-1,9,0.5691421530027606,0.9392956386635674,56,0.6275409652767979,0.99171404918484,5,0.15,0.006
844,-1,9,0.7678062053283831,0.9710692004277897,56,0.7481367241906293,0.9948318025518877,5,0.15,0.006
845,-1,9,0.743377042756288,0.9675867331344589,56,0.7125761339817183,0.9939670482462063,5,0.15,0.006
846,-1,9,0.6518222288484251,0.9535592540369597,56,0.726448368075601,0.994309327356809,5,0.15,0.006
847,-1,9,0.5214730661967679,0.9302106774198498,56,0.6288690710815947,0.9917514893772474,5,0.15,0.006
848,-1,9,0.4524526620874465,0.915651792139467,56,0.7068108052659728,0.9938228672197496,5,0.15,0.006
849,-1,9,0.7126712409322457,0.9630622489505253,56,0.29881019939834913,0.9786605023358667,5,0.15,0.006
850,-1,9,0.7086100188818923,0.9624509102988636,56,0.4682841125543017,0.9865435004640405,5,0.15,0.006
851,-1,9,0.5765262388535192,0.9406419474091523,56,0.48460508656317347,0.9871472227424797,5,0.15,0.006
852,-1,9,0.591126036639385,0.9432593546645257,56,0.7220222299610666,0.9942008206922723,5,0.15,0.006
853,-1,9,0.5839968694589821,0.9419885268205465,56,0.5333101878873159,0.9888368460148018,5,0.15,0.006
854,-1,9,0.44819104459913733,0.9146894838815292,56,0.7657134197875938,0.9952444275548342,5,0.15,0.006
855,-1,9,0.6077463573510403,0.946169951540989,56,0.6300779155220712,0.9917855000627132,5,0.15,0.006
856,-1,9,0.2716804877329059,0.86520218064476,56,0.535778975130007,0.9889184018477339,5,0.15,0.006
857,-1,9,0.7477662831852692,0.9682198599029472,56,0.5045234224427072,0.9878575183723555,5,0.15,0.006
858,-1,9,0.5486682511642588,0.935479824694464,56,0.5758843023650253,0.9901939583247644,5,0.15,0.006
859,-1,9,0.7109428725048389,0.9628024559088304,56,0.5057698466250894,0.9879010459474233,5,0.15,0.006
860,-1,9,0.6546033417662708,0.9540104575856204,56,0.5252336611002644,0.9885674248864222,5,0.15,0.006
861,-1,9,0.7637869216706094,0.9705030689744902,56,0.5118225083350327,0.988110929898532,5,0.15,0.006
862,-1,9,0.6684459087201902,0.9562312199076047,56,0.5700579339369402,0.9900141698823688,5,0.15,0.006
863,-1,9,0.6473743498179562,0.9528340674325562,56,0.7705107190008869,0.995355431796733,5,0.15,0.006
864,-1,9,0.7101554621894645,0.9626839131712752,56,0.831361560643461,0.9967073881509299,5,0.15,0.006
865,-1,9,0.4701658245809694,0.9195671551916358,56,0.588643153839167,0.9905815071665709,5,0.15,0.006
866,-1,9,0.6993135188778933,0.9610396920055977,56,0.7091529686422875,0.9938815795370185,5,0.15,0.006
867,-1,9,0.7806813092835322,0.9728651411735183,56,0.7105455549564358,0.9939163980603631,5,0.15,0.006
868,-1,9,0.7904175429247396,0.9742058431271435,56,0.38775531648765965,0.983224783887439,5,0.15,0.006
869,-1,9,0.5596199510585982,0.9375363867236244,56,0.7915890370980138,0.9958352518186763,5,0.15,0.006
870,-1,9,0.6714448119650146,0.9567069407862335,56,0.616356233428921,0.9913956210061022,5,0.15,0.006
871,-1,9,0.675710261577751,0.9573803326808767,56,0.6211312642951421,0.9915322542593338,5,0.15,0.006
872,-1,9,0.6524462419996995,0.9536606416826946,56,0.6704628024246106,0.9928863679598661,5,0.15,0.006
873,-1,9,0.5176610894117654,0.9294526718903408,56,0.6158886192497817,0.9913821847986195,5,0.15,0.006
874,-1,9,0.8508534200256068,0.9822139166459497,56,0.36344501710457644,0.9820886488257162,5,0.15,0.006
875,-1,9,0.8515753978394255,0.982306486365874,56,0.5968877737865452,0.9908275727496395,5,0.15,0.006
876,-1,9,0.6136924020762338,0.9471940730187409,56,0.6115028631531011,0.9912556766247392,5,0.15,0.006
877,-1,9,0.6335004473813027,0.9505432466709449,56,0.7686427702179008,0.9953122904206441,5,0.15,0.006
878,-1,9,0.6081928060074213,0.9462471545182128,56,0.8105694373345359,0.9962566974536103,5,0.15,0.006
879,-1,9,0.49480185978849167,0.9248002209010908,56,0.7570643633918117,0.9950425609203987,5,0.15,0.006
880,-1,9,0.7927573382940476,0.9745258496549312,56,0.5055996418339129,0.9878951082775671,5,0.15,0.006
881,-1,9,0.27362885987333607,0.8658894204938166,56,0.47017294724969216,0.9866144180509772,5,0.15,0.006
882,-1,9,0.653174268836225,0.9537788202505741,56,0.8008684795918964,0.9960425204606428,5,0.15,0.006
883,-1,9,0.588862433577688,0.942857333346339,56,0.733383521213289,0.9944780435631683,5,0.15,0.006
884,-1,9,0.5274357762460161,0.931386532432982,56,0.6147761554571691,0.9913501794691827,5,0.15,0.006
885,-1,9,0.3808785771180554,0.8982986093173978,56,0.5898977428838866,0.9906191686513416,5,0.15,0.006
886,-1,9,0.37662430787044127,0.8971781851239488,56,0.6075651099898544,0.9911413296488546,5,0.15,0.006
887,-1,9,0.7683405951448309,0.971144272762635,56,0.5405521332975943,0.9890750407387752,5,0.15,0.006
888,-1,9,0.6664942152614646,0.9559205994987336,56,0.5541858345266407,0.9895150824540911,5,0.15,0.006
889,-1,9,0.8033899250521686,0.9759695422911774,56,0.5020264624830459,0.9877700010130032,5,0.15,0.006
